Error number: Text: Cause: Remedy:,,,
1:2063,TBI error 2063 Error during the function chdir,"TBI can occur with the call AUTgetlinkedObjects. There should be an
AUT API tracer in the meantime.",
33:496,"The called function is not available in S7-DOS or in
the CPU.",,Deinstallation and reinstallation of STEP7
33:498,Internal error: Function '%1' not implemented.,,Delete metafiles
33:501,System error!,Attempt to get online as normal user under WinNT.,
33:511,System error!,Mixed installation,Manual deinstallation of STEP 7 and S7 options packages
,,NT: insufficient access rights.,You must have at least main user access rights!
,,NT: main user access rights already assigned!,"Check that the domain user with the main user rights has also been
transferred into the Main User group on the local computer."
,EPROM: Memory card is missing,,
Error number: Text: Cause: Remedy:,,,
,"The CP 1413 occupies the memory area 000D
0000 to 000D FFFF (complete D segment) or
000E 0000 to 000E FFFF (complete E segment).
Normally MPI boards also use address areas in
the D segment (from 000D C000) meaning they
interfere with communication with the CP 1413.","Can occur if the new connection to the database is not set up; for
example when closing and opening available users, S7db_close and
open is executed. Sometimes these do not match the current connection.","With laptops, disable the power-save mode. Under WinNT check the user
rights (only with Administrator rights in V3.x)."
,,Bus monitor Amprolyzer has been installed.,"Manual deinstallation of STEP 7 and S7 options packages according to
FAQ."
30:527,"The interface of the multi instance call can only be
updated, if the declaration of the multi instance is
valid in the tag declaration table.","If you click ""Yes"" in the dialog box, the system corrects the corresponding
entry in the detailed variable view for you.","In case it is impossible to acknowledge the dialog box with ""Yes"" and, hence
to have the corresponding entry corrected by the system in the tag detail
view, verify the system date of your PC. The system date of your PC has to
be set to the current date."
,,,"If you want to carry out the necessery changes yourself, proceed as follows:
1. Click ""No"" in the dialog box.
2. Eliminate the invalid multiple instance declaration by highlighting the
relevant line in the detailed variable view and selecting the pop-up context
menu command ""Update Declarations"".
3. Position the cursor on the block call in the code section and repeat the
function."
33:3100,,"When you have set the option ""PG/PC is the only master on the bus"" in
the dialog by ""Set PG/PC Interface"" and you will make an online
connection by ""Display Accessible Notes"" to the CP5412 A2, so you will
receive this error number if not a partner is connected on this modul.",
33:8242,"The EPROM driver cannot support the set
programming interface on this computer","PC + external prommer. Cause of error not yet known: probably a setup
problem where the Registry entries are not checked.","Under
HKEY_LOCAL_MACHINE\SOFTWARE\SIEMENS\SINEC\LOGDEVICES
there exist the directories MCDCENT and MCDPG. Where this is the case,
when using an external prommer, you must delete the MCDPG directory.
When using an internal prommer, you must remove the MCDCENT
directory."
,,Same message with a PG 720/740/760,Bad installation of STEP 7
Error number: Text: Cause: Remedy:,,,
33:8256,"The external prommer is not connected to the
corresponding port or the power supply has been
interrupted.",The external prommer is not connected to the configured LPT interface.,Connect the external prommer to the configured LPT.
,,The power supply of the external prommer is interrupted.,Reestablish the prommer's power supply.
,,LPT on PC faulty.,
,,LPT incorrectly set.,The LPT port must be set to EPP in the BIOS.
33:16399,"System error by S7OTBL Server Client-
Communication.","When this message appears, the S7DOS server (S7otblsx.exe or
S7otbxsx.exe) doesn't want to start.",The files S7otblsx.exe and/or S7otbxsx.exe are not available.
,,"This server is a relatively conventional Exe that receives data from the
line as proxy for programs that want to go online. It therefore has nothing
to do with databases or OLE/COM - yet.","S7otblsx.exe or S7otbxsx.exe are not in the search path? Is the server
normally in S7bin or in the system directory? The S7bin directory is
registered at Setup as CurrentWorkingDir of the applications. If this doesn't
work, then this message might also be displayed."
,,"What is the purpose of the server. S7DOS recognizes four call types, 3 of
which are asynchronous. So that the application can continue to run in
the case of asynchronous calls and exported if necessary, there must be
a proxy that constantly ""listens"" to the line and receives any data that
arrives. If the PLC sends data directly, only then can you start to store the
applications again from the swap-out file.","Remainders in the memory after manual closing of the server. The server
allocates shared memory. When it starts and finds its memory still allocated,
then it discontinues the startup or if it can't allocated the shared memory.
The first case might occur if you close the server with the Task Manager and
then continue without shutting down. The server needs approx. 400 KB
shared memory. This should not be a problem nowadays."
,,"The S7DOS-DLL attempts to start the server. If this does not work, then it
tries again and again. It has a timeout of 30 seconds in which time the
server should be up. If nothing happens during 30seconds - no refresh of
the application - then this is a clear indication of an unsuccessful server
start.","In STEP 7 V5 and higher the server checks whether it has the same version
as the DLL. If not, it doesn't start."
33:16418,"The monitoring time for a STEP 7 frame was
exceeded.",,
33:16418,Timeout by wait of WM_ENDE_L7.,The monitoring time for a STEP 7 telegram has expired.,
,,"Faulty parameterization of the access point on the MPI, L2 and H1 card or
on the corresponding bus.","Correct the access point via ""Set PG/PC interface"" or PG/PC ONLINE card."
,,"There is already a communications load at the moment due to a
configured S7 communication and therefore no ONLINE connection is
possible.","Repeat attempt to set up connection or check the S7 connections in the S7
project."
,,Cold or warm restart of communications partner.,"Repeat attempt to set up connection or check the power supply of the
communications partner."
Error number: Text: Cause: Remedy:,,,
33:16642,"Online: Internal error - wrong configuration of
telegram.","Occurs when TeleService is in operation. Error image: a TeleService
connection is set up between a US-Robotics Sportster Voice 33.6 fax
modem (local; analog, external) and an M1 GSM module (system side).
With this constellation an online connection is set up in TeleService, the
available users are displayed, but if you double-click on, for example,
MPI=2 (direct), you get this error message. When you close this error
message, the block container is displayed and the remote connection to
the system is disconnected (295:20493).",
,,"Error described above also occurs with a connection between US-
Robotics Sportster Voice 33.6 fax modem (local; analog, external) and the
Penril Data Link 19.2 modem (system side, analog, external).",
33:16647,The online connection was interrupted.,,
33:16654,"Online: The connection was broken. Check the
online connection and select the instance data
block again.",HW connection interrupted.,Check the connecting cables and for correct connection to the network.
,,"CPU has no power supply.
Power supply failure.",Reestablish the power supply.
,,"S7-300:
Group error LED (SF) lights.","Locate problem by replacing modules. One possible cause could be that the
bus is unstable or the interface on the module is defective."
,,Interface is already occupied by another PG connection.,Check whether a remote connection is set up.
,,Power-save Management is active in the computer.,"Go online again and set up a new connection.
If the behavior occurs again after a short time, then deactivate the Power-
save Management.
Warning: in some computers this can only be done via the BIOS SETUP."
33:16656,"The error occurs frequently if a station address is
set which differs from the actual network
configuration","The error occurs frequently if an MPI address is set, which deviates from
the actual network configuration. The error can occur in particular with the
following operations:",Check the connecting cables and for correct connection of the network.
,,"A block has been copied from an S7 program that is directly under a
project and inserted in the block container of an S7 program that is under
a module.",Check the PLC for power failure.
Error number: Text: Cause: Remedy:,,,
,,"For setting up the online connection it is no longer the MPI address in the
Properties of the S7 program that is valid, but the configured MPI address
of the module.","Check whether when configuring the hardware that an MPI address has
been configured for the module and stored offline, under which no user
exists as yet. In this case open the window for configuring the hardware.
Then either adapt the MPI address in the module (by loading the
configuration (see HW Config) with the changed MPI address) or change the
MPI address configured offline to an existing address and save the change
offline."
,,"A block has been opened in the ""Available Users"" window and then an
attempt was made to save the block in a project.","Check whether the configured MPI address in the project actually
corresponds to the loaded MPI configuration of the MPI network."
,,"For setting up the online connection it is no longer the MPI address from
the ""Available Users"" window that is valid, but the MPI address configured
in the project.",Check whether the MPI address is available in the MPI network.
,,"In the ""Available Users"" window a user has been marked and the ""Monitor
and control variable"" function called. Then an attempt was made to save
the variable, which is only possible offline in a project.","Check the ""Group error message"" (SF) LED of the module (CPU)."
,,"For setting up the online connection it is no longer the MPI address from
the ""Available Users"" window that is valid, but the MPI address configured
in the project.","Check the configuration in the SIMATIC Manager and the network
addresses set. (Network addresses must not be assigned twice.)"
,,,"Reset the CPU and CP, then reload the configuration and under NCM read
out the address so that you can access the S7 controller online with the CP
1413."
,,"The block container of a CPU with several DP interfaces cannot be
opened over the DP interface in the online view. This online view is
however possible over the MPI/DP interface. A online connection can be
built up with the function ""Available station"" via the DP-interface of the
CPU.","1. Check the settings in the SIMATIC Manager: By clicking on ""Extras >
Settings > Register: View"" the option ""Enable MPI address to be modified""
should be active.
2. Switch in the Simatic manager to online view and mark with the cursor the
S7 program. Right-click, load the object properties and choose the register
""Addresses: Module"". Select the correct PROFIBUS address, with which the
PG is connected via the DP-interface of the CPU.
3. We recommend to notify STEP 7 of the location change of the PGs, if
you have disconnected and reconnect the PC from the subnet to an other
with your networked STEP 7 project. This can be executed under
""Targetsystem > Assign PG/PC""."
Error number: Text: Cause: Remedy:,,,
33:16662,"Online: No connection. Node does not accept the
connection setup. Check the online connection and
select the instance data block again.",The partner is neither a CPU nor a CP.,Check that the configuration and the actual hardware configuration match.
,,The partner is not a module in the PLC.,Check the addresses given.
,,The partner is a different PG or an external device.,"Using the ""Module Status"" function check whether the selected partner is a
CPU. Check whether its communications partner is slotted in the place
configured (rack/slot)."
,,The partner cannot set up any more connections.,Close any further connections to the partner.
,,"Connection setup via DP interface without the CPU retaining it's relevant
SDBs.","First configure the CPU also as DP master and load the SDBs onto the
CPU."
33:16914,Online: Station not online.,Power supply of the S7 is switched off.,Check whether the CPU is switched on.
,,Connecting cable is not plugged in or is defective.,"Check that the MPI cable is plugged in.
Check the cable for breaks."
,,Configured bus parameters do not match the S7 system.,"Check the following bus parameters: Baud Rate, Highest User Address
(these parameters must be set correctly on all stations in the network) and
Timeout."
,,,"In the Control Panel call ""Set PG/PC interface"" to correct the bus
parameters."
,,,Restart MS-Windows and check the error messages of the drivers.
,,Incorrect access point is selected.,Select correct access point.
,,PG: hardware fault,Send PG to PG service shop to have the interface checked.
33:16917,"The function is not supported by the selected
hardware.","Occurs if you set up an ONLINE connection via a CP5412 A2 with the
option ""PC is the only master"" (in the ""Set PG/PC interface"" tool) via
""Available Users"" and there is no user connected to the CP 5412 A2.","Incorrect message, the connection is set up as soon as a user is connected."
33:16944,Online: It is not found an active contact.,User not connected to the bus.,"Check the connecting cables and the connection to the network. Check the
PLC for power failure."
,,"On the PC/TS adapter the LED for correct power supply lights. This LED
lights if only the 24V supply is connect and the 5V supply is missing. The
PC/TS adapter however needs the 24V and the 5V power supply through
the PLC.","Check the connection and whether the 24V and 5V power supplies reach
the PC/TS adapter."
,,The TS adapter is set to the wrong transmission rate on the MPI side.,Correct the network transmission rate under Set PG/PC interface -> MPI.
,,The PC/TS adapter hardware is damaged.,Replace the TS adapter or send it in for repair.
,,"The wrong driver is preset under ""Set PG/PC interface"".",Preset the correct driver for the TS adapter.
Error number: Text: Cause: Remedy:,,,
33:17072,Online: no hardware is found.,No driver selected or incorrect address area of the MPI interface,"PG/PC interface - MPI Properties
->Select or add driver"
,,"With Windows NT, check that the PC has an MPI-ISA card and not a
CP5611.",Can be determined in the BIOS (PCI).
33:17074,"ONLINE: driver is wrong configured or not valid
parameter in the registry","MPI-ISA card: installation of an
STEP7 version (also upgrade and corrections)
-Win95 hardware recognition has been run
-other drivers (also CP...) tried out
-another card installed in the PG/PC
-sometimes hardware is defective","PG/PC interface - MPI Properties
->Delete all unnecessary drivers
->Re-insert and parameterize drivers"
33:17075,"All stations on this subnet must have the same
value for the transmission rate. The interrupt may
not be assigned for other hardware components.
The MPI addresses in the network must be unique,
meaning each address may only be assigned
once. The local Station address must also not be
greater than the highest station address in the
programmable controller.",With this message there is usually an interrupt that is double-occupied.,Attempt to set a different interrupt once.
,,"Occurs with SCENIC PRO M6, Onboard Controller occupies many IRQs",Deactivate primary and secondary controllers in the BIOS.
,,"WIN 95 does not clearly recognize the interrupt occupied through the
3Com-Etherlink 3 (ISA) 3c0509b. This can lead to interrupt sources being
double-occupied.",Select a different interrupt for MPI card.
,,"The reason for this can be an actual fault in the hardware, or an interrupt
conflict with another module.","In this case the customer can check whether the MPI LED on the CP5611
lights during this time.
-If the LED does not light, the module might be defective or there is an
address conflict on the PCI bus (not very likely).
-If the LED lights, then there is an interrupt conflict.
-NT diagnostics ->Resources.
-Warning: with some modules it is necessary to switch the computer
off/on after BIOS changes
Under circumstances, one remedy is to plug the CP5611 into a different
PCI slot."
Error number: Text: Cause: Remedy:,,,
33:17077,"Online: The setting local address of participant is
assigned","The TS adapter had the same MPI address (0) as another user in the MPI
network.","Via the ""Parameterize Adapter"" function, assign to the TS adapter an MPI
address that has not yet been assigned and save it. The TS adapter has
MPI address 0 as works default setting."
33:17088,"Online: The selected communication driver can not
be loaded. File is not found.","In V2.1 the PG/PC interface hardware is set to ""none""",Select card
,,Possibly wrong or no driver selected with Windows NT.,Install driver or select card.
33:17090,Logical device is not in the registry.,,
,,"The LogDev is in the Registry under the following key:
HKEY_LOCAL_MACHINE\SOFTWARE\SIEMENS\SINEC\LogName\S7O
NLINE\LogDevice","This sequence of drivers should be of one mold, i.e. from the same
generation.
A mixture of drivers from different STEP7 releases is fatal!"
,,"No, that would be too simple.
As usual for such a communication, each layer is implemented as an
application layer. There is therefore at least one driver for Layer 7
(s7otbldx,s7otblsx), one for Layer 4 (s7otransx) and one for Layer 2
(s7ospc2). The drivers for Layer 2 still run in the Ring 0 of Windows, the
remaining drivers in the Ring 3. There is also a central program that
manages the transition from Ring 3 to Ring 0 including the transferring
data to and fro (s7onlinx).",
,,With the CP 5611: driver warped in the Registry.,"Deinstall and then reinstall under ""Set PG/PC interface""."
,,"""PG/PC is the only master on the bus"" is not activated (not checked)
although the PG/PC is the only master.","Active ""PG/PC is the only master on the bus""."
33:17104,"The version of the adapter connected does not
support the bus parameters set or it is not
connected to the adapter type assigned to it in the
program ""Setting the PG/PC Interface"".","Probably the versions of the drivers and the PC Adapter or PC/MPI card
are incompatible.","Check in the PG/PC interface whether a TS adapter is addressed with the
PC Adapter driver. Also check the settings of your PG and the PC Adapter
(Informations you will find in the FAQ !10420976!)."
33:17106,Communication to the PC/TS adapter is faulty.,"The PC/MPI cable is plugged into a module that provides no power
supply.",Connect external power supply.
,,The connection between PC adapter and CPU is defective.,"Check hardware. Warning: PC adapter needs direct connection to the CPU
since no external power supply is possible."
,,Connection between PC adapter and PC is defective.,Check connector pin assignments.
,,"The TS adapter is not yet set under ""Set PG/PC interface"".","Enter the TS adapter correctly under Step7 Options --> Set PG/PC interface.
Also pay attention to the properties Direct Connection/Modem Connection."
Error number: Text: Cause: Remedy:,,,
33:17108,"Exit the application which is currently using the
required port (COM port or USB)","Another application already occupies the serial interface or faulty setting
of COM-IF upon display under NT.","With NT check in the Control Panel that STANDARD is not set for
Addresses and INT in the settings of the COM interfaces under ""Advanced"".
If not, remove COM IF and then restart the PC. Now COM IF should be
newly installed with the STANDARD option."
33:17109,"The driver for the required port is currently being
used by another application. Another interface
parameter assignment configuration may also be
in use.","The item Direct Connection has been selected in the SIMATIC Manager
under Options --> Set PG/PC interface.",Select the item Modem Connection under Options --> Set PG/PC interface.
,,"After interruption of a TS connection the serial driver is still reserved by
STEP 7.","Close TeleService and STEP 7, then restart STEP 7 first followed by
TeleService."
33:17110,"The interface TS adapter is set for a modem
connection and there is no remote connection to a
TS adapter.","After dialing into a remote system via TeleService (connection is set up),
the TeleService window was minimized and PLC --> Display Available
Users was selected and then this error message was displayed. The
reason is probably a bad telephone line or a connection that is too slow.","Acknowledge error message with OK and simply reselect PLC --> Display
Available Users. The error should then no longer appear and the available
users are displayed as long as the modem connection is still set up."
33:33285,It is a copied object variant available.,,"Please set up the connection by closing all the S7 applications and then
restarting them."
33:33540,"Message from the module. Too few resources
available.","Message from the PLC when reading block when, for example, two
upload processes are triggered simultaneously by 2 PG.",Start Trace (Level=0x11000000)
33:33794,Illegal request of service,The CFB in the communications partner is in the wrong state.,Check the block call in the user program of the communications partner.
,,PRINT block: Paper out.,Check the printer when printing via the module.
,,"The program instance in the communications partner is in the wrong state
(cf. START, STOP, RESUME block).",Set the key switch to RUN or RUN-P before starting the module.
,,"When implementing a CPU with DP interfacing, you might get the
following situation: a user is not available on the DP bus, the CPU
remains about 30 seconds in startup and the RUN LED blinks. Then the
CPU goes into RUN (as long as no I/O access to the missing I/Os puts
the CPU into STOP). This is obviously a TIMEOUT effect, because the
CPU doesn't acknowledge the service in the relevant time.",Download the SDBs and restart manually.
33:34562,"The service requested is not supported by the
module.",The service requested is not supported by the module.,"Note the restrictions of the CPU used (menu command PLC > Module
status, Performance Data tab or look up the performance data in the
documentation for the module used).
Use a more powerful module."
,,The object addressed does not exist on the module.,Check the addressing of the object.
Error number: Text: Cause: Remedy:,,,
